,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,0_percentage,nan_percentage,auc,ks,psi
feature64,10251.0,0.1420323844163495,0.16627570049067922,0.0,0.0,0.0,0.0,0.082524272,0.222222222,0.489915938,0.665780142,1.0,0.1254142457499462,0.558812136862492,0.5230390645054654,0.0452431166653432,0.015585423023839877
feature65,10251.0,0.24002166304975073,0.16319915181836597,0.0,0.0,0.0,0.124312758,0.21739130399999998,0.333333333,0.5380006875,0.7307692309999999,1.0,0.02866365397030342,0.558812136862492,0.4823411925265333,0.004238313243666969,0.014853894550383752
feature66,10251.0,0.12057449836269599,0.1151898603665507,0.0,0.0,0.0,0.038461537999999997,0.093023256,0.16867469899999998,0.333333333,0.5,1.0,0.05018291370776845,0.558812136862492,0.51691654862795,0.04053397206591458,0.013459927200909348
feature67,10251.0,0.0887082945331187,0.08518904050817087,0.0,0.0,0.0,0.022222222000000003,0.072368421,0.131578947,0.2411715825,0.36658270400000004,1.0,0.08099849365181838,0.558812136862492,0.4885349933239641,0.0025026362493051346,0.014684442895745598
feature68,10251.0,45.65486294020096,79.03165954382968,0.0,0.0,0.0,4.0,17.0,53.0,186.0,374.5,1208.0,0.0478157951366473,0.558812136862492,0.5021770063657802,0.035551876400074595,0.014765523164509613
feature69,10251.0,0.8181102878498657,0.17597234500518835,0.0,0.0,0.5,0.746268657,0.8609022559999999,0.939759036,1.0,1.0,1.0,0.00662793199913923,0.558812136862492,0.4919475280199598,0.009864650990140111,0.014803198368121707
feature70,10251.0,0.755566712284755,0.2152428722406051,0.0,0.0,0.36211260050000005,0.6330046755000001,0.793135963,0.9335216785,1.0,1.0,1.0,0.00692920163546374,0.558812136862492,0.49363772855958293,0.01749961679738643,0.014847359787973717
feature71,10251.0,0.27559612564218,0.2859479102876932,0.0,0.0,0.0,0.0,0.18300653600000003,0.486959856,0.833333333,0.9626164595,1.0,0.11598880998493652,0.558812136862492,0.5023285791585794,0.016879751943252752,0.014062454436672575
feature72,10251.0,1097124.6960296556,3276390.4991964777,0.0,0.0,0.0,0.0,209219.0,1000000.0,4823736.5,12221539.5,109710590.0,0.11603184850441145,0.558812136862492,0.5215666430897026,0.05086446816094142,0.015757158181146213
feature73,10251.0,0.133957506272198,0.21754741356337773,0.0,0.0,0.0,0.0,0.028919828999999998,0.1696709245,0.653760939,0.9725192995,1.0,0.11603184850441145,0.558812136862492,0.4962086949134701,0.011845392981205571,0.014209885451474379
feature74,10251.0,0.6807564196105775,0.2954845442794857,0.0,0.0,0.0348023655,0.5079950945,0.7612954470000001,0.9302280095,1.0,1.0,1.0,0.013471056595653109,0.558812136862492,0.4931833795331022,0.015384800060573744,0.013630565463341704
feature75,10251.0,0.09104604733479676,0.15865544001295395,0.0,0.0,0.0,0.0,0.02283105,0.11487520100000001,0.4,0.8227236099999999,1.0,0.17654400688616312,0.558812136862492,0.5187670017304138,0.04141506106310566,0.015228218937479348
feature76,10251.0,0.1485657755579939,0.225856574259698,0.0,0.0,0.0,0.0,0.033744897,0.215309841,0.679322595,0.9922133259999999,1.0,0.17663008392511298,0.558812136862492,0.522680885484285,0.042150440729174565,0.013498035443932792
feature77,10251.0,0.05914985402697304,0.12992399467121463,0.0,0.0,0.0,0.0,0.000338831,0.058840002,0.30833755799999996,0.6787968240000001,1.0,0.21213686249193028,0.558812136862492,0.5026892974741869,0.016082782845080912,0.013638704513197198
feature78,10251.0,0.028538883844990762,0.05514979965107751,0.0,0.0,0.0,0.0,0.00754717,0.035714286,0.12121212099999999,0.2423112765,1.0,0.1881213686249193,0.558812136862492,0.5052072618280334,0.02250488929599681,0.01329913980498837
feature79,10986.0,29037762.48616421,38781705.27397058,-49954800.0,72982.0,762132.5,5149818.75,15285359.5,38240648.25,100909095.0,181925773.49999994,536261361.0,0.002151925973746503,0.5271788250484183,0.5398783185432533,0.07208607079575341,0.015795980083138088
feature80,10986.0,903763.3564648747,829003.655175531,-16651600.0,26614.575000500008,159081.281575,406147.546575,698750.5061,1135568.961,2351617.365,3990072.275699996,12576925.25,0.002151925973746503,0.5271788250484183,0.5299892197491047,0.062230263108803974,0.015474869394774592
feature81,10986.0,1208448.2684158818,1042068.4778331922,0.0,0.0,0.0,545454.5455,1000000.0,1589327.48525,3000000.0,5000000.0,20060606.06,0.03412954594361954,0.5271788250484183,0.5609200612457975,0.09926301196454507,0.015235620091099421
feature82,10986.0,189967.9556200799,329758.1223557875,0.0,0.0,20693.5833375,68711.81203,128542.61665,225401.604175,516455.125,1014815.539999999,18270374.6,0.009296320206584894,0.5271788250484183,0.5305780049590629,0.0596507762854816,0.016343128927014953
feature83,10986.0,0.18506601073429915,3.757001579166753,0.0,0.0,0.0,0.07718319024999999,0.11401833949999998,0.17199481049999998,0.35290904824999997,0.6628126523499988,392.95125,0.03537766300839251,0.5271788250484183,0.4949285590059046,0.03140154987323551,0.015155342391223127
